Name,DOB,Club,gender,result,discipline,date,competition_id,result_id
Maxwell Albert,12-28-02,Sandecja Nowy Sacz,M,45.76,400,06-03-15,60,9950
Hiram Atkins,10-11-80,Slask Wroclaw,M,47.92,400,06-03-15,60,10012
Merrill Beck,05-11-91,Lechia Gdansk,M,12.29,100,06-03-15,60,10042
Hayes Navarro,03-02-95,Wisla Krakowa,M,12.47,100,06-03-15,60,10054
Nichole Lee,05-26-99,Legia Warsawa,F,170.94,1000,06-03-15,60,10139
Emi Cobb,11-28-01,Zaglebie Lubin,F,130.2,800,06-03-15,60,10158
Sharon Barlow,01-26-02,Wisla Plock,F,23.67,200,06-03-15,60,10188
Ariana Tucker,07-25-94,Jagiellonia Bialystok,F,261.65,1500,06-03-15,60,10399
Lionel Rivera,03-12-82,Zaglebie Lubin,M,45.08,400,06-03-15,60,10473
Shay Nash,09-13-86,Lech Poznan,F,53.21,400,06-03-15,60,10486
Magee Ware,02-04-01,Bruk-Bet Termalica Nieciecza,M,217.07,1500,06-03-15,60,10648
Alana Booth,03-08-95,Bruk-Bet Termalica Nieciecza,F,139.31,800,06-03-15,60,10687
Farrah Mckay,06-11-94,Legia Warsawa,F,127.64,800,06-03-15,60,10710
Peter Reeves,05-01-81,Bruk-Bet Termalica Nieciecza,M,106.96,800,06-03-15,60,10779
Lawrence Terrell,06-16-98,Gornik Zabrze,M,154.6,1000,06-03-15,60,10864
Julian Albert,03-30-82,Jagiellonia Bialystok,M,106.08,800,06-03-15,60,10905
Tanya Rivera,11-24-88,Zaglebie Lubin,F,14.95,100,06-03-15,60,11051
Mercedes Oconnor,09-19-01,Lechia Gdansk,F,175.12,1000,06-03-15,60,11079
Wylie Saunders,09-24-89,Wisla Krakowa,M,11.83,100,06-03-15,60,11103
Yael Hogan,09-17-96,Zaglebie Lubin,F,245.35,1500,06-03-15,60,11107
Ella Williamson,12-10-83,Wisla Krakowa,F,173.34,1000,06-03-15,60,11129
Brendan Mccormick,09-23-88,Legia Warsawa,M,21.29,200,06-03-15,60,11160
Wing Macdonald,08-16-99,Slask Wroclaw,M,49.57,400,06-03-15,60,11180
Nero Pope,03-29-91,Pogon Szczecin,M,22.99,200,06-03-15,60,11471
Vernon Reeves,07-13-99,Slask Wroclaw,M,111.49,800,06-03-15,60,11558
Amy Richardson,05-27-90,Korona Kielce,F,252.98,1500,06-03-15,60,11608
Byron Rutledge,09-20-86,Wisla Plock,M,107.61,800,06-03-15,60,11709
Hermione Solomon,09-25-99,Lech Poznan,F,25.78,200,06-03-15,60,11833
Wynne Griffin,02-17-00,Lechia Gdansk,F,25.02,200,06-03-15,60,11848
Mari Swanson,04-29-87,Wisla Krakowa,F,23.79,200,06-03-15,60,11980
Oleg Johns,01-03-89,Slask Wroclaw,M,105.12,800,06-03-15,60,12173
Jessica Prince,12-22-98,Cracovia,F,25.26,200,06-03-15,60,12205
Xander Underwood,03-13-00,Arka Gdynia,M,237.82,1500,06-03-15,60,12217
Fritz Bonner,04-16-97,Cracovia,M,20.65,200,06-03-15,60,12231
Patience Mcfadden,06-08-89,Arka Gdynia,F,254.05,1500,06-03-15,60,12241
Noelle Thompson,03-04-98,Lech Poznan,F,51.91,400,06-03-15,60,12272
Elliott Gamble,06-17-86,Lech Poznan,M,11.94,100,06-03-15,60,12418
Halla Ray,04-16-94,Slask Wroclaw,F,249.37,1500,06-03-15,60,12529
Farrah Combs,09-01-87,Sandecja Nowy Sacz,F,25.91,200,06-03-15,60,12565
Chaim Levy,06-17-89,Lech Poznan,M,47.05,400,06-03-15,60,12588
Hashim Ball,09-28-98,Lechia Gdansk,M,22.02,200,06-03-15,60,12638
Mia Mack,11-20-87,Wisla Plock,F,254.84,1500,06-03-15,60,12746
Gabriel Durham,08-28-88,Zaglebie Lubin,M,147.43,1000,06-03-15,60,12761
Patience Mcfadden,06-08-89,Arka Gdynia,F,169.27,1000,06-03-15,60,12769
Orla Hatfield,05-07-94,Wisla Krakowa,F,54.04,400,06-03-15,60,12773
Nasim Gonzales,03-21-89,Wisla Plock,M,146.17,1000,06-03-15,60,12831
Brody Harper,12-10-91,Lechia Gdansk,M,217.9,1500,06-03-15,60,13033
Demetria Townsend,04-04-94,Legia Warsawa,F,174.34,1000,06-03-15,60,13134
Gabriel Durham,08-28-88,Zaglebie Lubin,M,10.1,100,06-03-15,60,13163
Yetta Lane,10-26-83,Wisla Plock,F,249.84,1500,06-03-15,60,13197
Clio Colon,10-15-00,Arka Gdynia,F,179.57,1000,06-03-15,60,13333
Wayne Wall,03-11-05,Sandecja Nowy Sacz,M,21.62,200,06-03-15,60,13366
Karina Matthews,09-25-95,Gornik Zabrze,F,12.43,100,06-03-15,60,13577
Rhona Trujillo,08-09-86,Lechia Gdansk,F,258.29,1500,06-03-15,60,13627
Anthony Stafford,11-22-03,Slask Wroclaw,M,217.44,1500,06-03-15,60,13666
Jade Burgess,04-30-96,Arka Gdynia,F,175.7,1000,06-03-15,60,13675
Wing Sherman,05-05-81,Lechia Gdansk,M,232.99,1500,06-03-15,60,13701
Alika Reid,02-20-00,Cracovia,F,52.18,400,06-03-15,60,13712
Vivian Hobbs,10-14-93,Piast Gliwice,F,245.54,1500,06-03-15,60,14109
Anastasia Garner,06-20-93,Sandecja Nowy Sacz,F,56.61,400,06-03-15,60,14175
Philip Lopez,11-16-86,Jagiellonia Bialystok,M,144.3,1000,06-03-15,60,14208
Yasir Lawson,02-19-88,Jagiellonia Bialystok,M,46.76,400,06-03-15,60,14600
Blossom Bradshaw,02-26-97,Korona Kielce,F,25.04,200,06-03-15,60,14643
Wyoming Dejesus,06-02-89,Piast Gliwice,F,12.83,100,06-03-15,60,14653
Moses Schmidt,03-30-88,Sandecja Nowy Sacz,M,140.42,1000,06-03-15,60,14666
Rhoda Horton,04-08-93,Slask Wroclaw,F,249.44,1500,06-03-15,60,14882
Seth Willis,09-22-04,Jagiellonia Bialystok,M,21.63,200,06-03-15,60,15071
Leila Neal,02-28-03,Wisla Krakowa,F,127.56,800,06-03-15,60,15229
Jelani Berger,03-26-02,Lechia Gdansk,M,20.48,200,06-03-15,60,15666
Bo Rodriguez,05-02-88,Korona Kielce,F,23.41,200,06-03-15,60,15700
Rhonda Holt,01-14-93,Slask Wroclaw,F,131.06,800,06-03-15,60,15914
Kirk Middleton,07-27-80,Zaglebie Lubin,M,151.67,1000,06-03-15,60,15927
Linda Stephens,05-12-85,Zaglebie Lubin,F,249.52,1500,06-03-15,60,15976
Emi Cobb,11-28-01,Zaglebie Lubin,F,125.69,800,06-03-15,60,16022
Brent Hubbard,05-31-82,Pogon Szczecin,M,12.92,100,06-03-15,60,16160
Josephine Navarro,07-29-01,Korona Kielce,F,12.09,100,06-03-15,60,16198
Bradley Mcclain,04-11-99,Korona Kielce,M,21.1,200,06-03-15,60,16288
Allistair Finch,05-26-82,Lech Poznan,M,158.17,1000,06-03-15,60,16669
Emi Cobb,11-28-01,Zaglebie Lubin,F,13.92,100,06-03-15,60,16724
Tad Hammond,07-15-89,Bruk-Bet Termalica Nieciecza,M,233.74,1500,06-03-15,60,16831
Regan Galloway,03-20-84,Lech Poznan,F,56.83,400,06-03-15,60,17021
Candice Conrad,03-29-86,Sandecja Nowy Sacz,F,131.62,800,06-03-15,60,17069
Nolan Mitchell,01-28-85,Lech Poznan,M,107.74,800,06-03-15,60,17296
Oleg Johns,01-03-89,Slask Wroclaw,M,109.06,800,06-03-15,60,17478
Magee Ware,02-04-01,Bruk-Bet Termalica Nieciecza,M,107.31,800,06-03-15,60,17551
Yoshi Patton,04-09-84,Wisla Plock,F,51.61,400,06-03-15,60,17600
Harlan Kline,12-28-01,Jagiellonia Bialystok,M,12.87,100,06-03-15,60,17676
Kimberley Marsh,12-23-87,Sandecja Nowy Sacz,F,24.07,200,06-03-15,60,17717
Candice Gaines,02-04-84,Arka Gdynia,F,54.44,400,06-03-15,60,17747
Ryan Swanson,02-01-00,Jagiellonia Bialystok,M,236.37,1500,06-03-15,60,17839
Henry Bartlett,04-24-02,Wisla Krakowa,M,20.16,200,06-03-15,60,18016
Kaitlin Fox,03-09-97,Slask Wroclaw,F,255.79,1500,06-03-15,60,18211
Avye Grimes,02-05-98,Lech Poznan,F,129.1,800,06-03-15,60,18322
Amela Preston,02-25-00,Pogon Szczecin,F,25.79,200,06-03-15,60,18507
Haviva Sanford,02-25-03,Piast Gliwice,F,179.4,1000,06-03-15,60,18573
Ezekiel Church,07-09-93,Cracovia,M,22.41,200,06-03-15,60,18589
Scarlett Kirkland,09-22-92,Korona Kielce,F,125.11,800,06-03-15,60,18786
Elvis Langley,07-19-94,Bruk-Bet Termalica Nieciecza,M,48.91,400,06-03-15,60,18794
Ethan Chambers,05-09-89,Wisla Krakowa,M,110.47,800,06-03-15,60,18971
Sasha Terry,05-22-97,Jagiellonia Bialystok,F,25.9,200,06-03-15,60,18979
Willa Bray,08-09-98,Sandecja Nowy Sacz,F,12.1,100,06-03-15,60,19226
Leslie Chan,06-24-86,Slask Wroclaw,F,14.75,100,06-03-15,60,19262
Britanney Pope,10-21-01,Pogon Szczecin,F,13.45,100,06-03-15,60,19273
Wing Sherman,05-05-81,Lechia Gdansk,M,46.71,400,06-03-15,60,19298
Haviva Sanford,02-25-03,Piast Gliwice,F,267.42,1500,06-03-15,60,19380
Kermit Mcclure,02-04-97,Bruk-Bet Termalica Nieciecza,M,238.78,1500,06-03-15,60,19397
Grace Mueller,12-27-93,Cracovia,F,126.17,800,06-03-15,60,19451
Karleigh Barr,12-15-00,Wisla Krakowa,F,267.25,1500,06-03-15,60,19561
Hermione Solomon,09-25-99,Lech Poznan,F,139.68,800,06-03-15,60,20353
Dexter Hudson,03-09-93,Jagiellonia Bialystok,M,149.24,1000,06-03-15,60,20393
Kasper Larson,06-15-04,Pogon Szczecin,M,110.11,800,06-03-15,60,20483
Elliott Gamble,06-17-86,Lech Poznan,M,11.97,100,06-03-15,60,20528
Jade Burgess,04-30-96,Arka Gdynia,F,13.76,100,06-03-15,60,20649
Violet Dorsey,05-17-95,Bruk-Bet Termalica Nieciecza,F,265.92,1500,06-03-15,60,20687
Harlan Kline,12-28-01,Jagiellonia Bialystok,M,218.46,1500,06-03-15,60,20751
Lavinia Ellis,04-09-03,Cracovia,F,260.51,1500,06-03-15,60,20961
Thor Justice,12-17-87,Zaglebie Lubin,M,21.39,200,06-03-15,60,20966
Aquila Horn,08-27-92,Sandecja Nowy Sacz,M,111.78,800,06-03-15,60,21097
Magee Ware,02-04-01,Bruk-Bet Termalica Nieciecza,M,20.67,200,06-03-15,60,21343
Julian Albert,03-30-82,Jagiellonia Bialystok,M,50.71,400,06-03-15,60,21366
Quinn Burt,02-04-96,Zaglebie Lubin,M,46.12,400,06-03-15,60,21536
Fritz Bonner,04-16-97,Cracovia,M,12.24,100,06-03-15,60,21554
Katelyn Lott,07-09-96,Pogon Szczecin,F,23.21,200,06-03-15,60,21606
Courtney Mathis,01-27-00,Legia Warsawa,F,170.23,1000,06-03-15,60,21636
Clayton Clarke,12-13-94,Wisla Plock,M,110.72,800,06-03-15,60,21648
Lewis Fulton,02-17-89,Bruk-Bet Termalica Nieciecza,M,50.52,400,06-03-15,60,21779
Austin Gibbs,12-23-91,Korona Kielce,M,47.12,400,06-03-15,60,21955
Xandra Pearson,09-09-89,Jagiellonia Bialystok,F,13.57,100,06-03-15,60,22025
Barclay Bruce,01-29-92,Wisla Krakowa,M,151.46,1000,06-03-15,60,22046
Elijah Pruitt,09-08-80,Zaglebie Lubin,M,157.09,1000,06-03-15,60,22218
Ciara Sims,09-12-02,Korona Kielce,F,51.52,400,06-03-15,60,22250
Lillith Ramirez,10-06-93,Lech Poznan,F,181.87,1000,06-03-15,60,22470
Mara Ford,04-14-95,Wisla Plock,F,12.87,100,06-03-15,60,22652
Isabelle Bright,07-16-93,Wisla Krakowa,F,182.78,1000,06-03-15,60,22677
Driscoll Fowler,08-12-99,Korona Kielce,M,21.79,200,06-03-15,60,22687
Britanni Clayton,01-16-97,Gornik Zabrze,F,14.19,100,06-03-15,60,22784
Colt Cortez,08-04-94,Pogon Szczecin,M,111.68,800,06-03-15,60,22838
Randall Wilcox,04-25-84,Zaglebie Lubin,M,47.17,400,06-03-15,60,22880
Evan Randolph,02-09-97,Zaglebie Lubin,M,235.19,1500,06-03-15,60,23038
Steel Cox,12-24-97,Lech Poznan,M,21.33,200,06-03-15,60,23178
Kai Russo,07-23-98,Slask Wroclaw,F,23.71,200,06-03-15,60,23294
Ivan Roberts,09-16-82,Gornik Zabrze,M,239.2,1500,06-03-15,60,23395
Jesse Small,02-11-84,Pogon Szczecin,M,108.83,800,06-03-15,60,23397
Rowan Hubbard,01-16-88,Zaglebie Lubin,F,168.02,1000,06-03-15,60,23425
Rae Castro,08-16-85,Sandecja Nowy Sacz,F,130.9,800,06-03-15,60,23589
Jackson Hyde,12-01-91,Korona Kielce,M,22.32,200,06-03-15,60,23632
Thomas Erickson,11-29-81,Slask Wroclaw,M,230.33,1500,06-03-15,60,23653
Tiger Payne,09-16-98,Arka Gdynia,M,231.32,1500,06-03-15,60,23729
Uriel Kim,04-24-00,Wisla Krakowa,M,235.29,1500,06-03-15,60,23820
Maile Summers,05-18-84,Zaglebie Lubin,F,12.02,100,06-03-15,60,23994
Katelyn Lott,07-09-96,Pogon Szczecin,F,25.33,200,06-03-15,60,24122
Avye Rosario,04-14-89,Pogon Szczecin,F,256.02,1500,06-03-15,60,24292
Cailin Warner,04-13-93,Lechia Gdansk,F,130.29,800,06-03-15,60,24334
Mia Mack,11-20-87,Wisla Plock,F,263.42,1500,06-03-15,60,24343
Dexter Hudson,03-09-93,Jagiellonia Bialystok,M,21.58,200,06-03-15,60,24444
Kameko Dalton,09-19-90,Legia Warsawa,F,259.03,1500,06-03-15,60,24590
Eric Farley,07-17-89,Korona Kielce,M,233.16,1500,06-03-15,60,24646
Hu Buckley,08-01-00,Wisla Krakowa,M,144.82,1000,06-03-15,60,24669
Ezekiel Church,07-09-93,Cracovia,M,47.58,400,06-03-15,60,24762
Ezekiel Church,07-09-93,Cracovia,M,48.71,400,06-03-15,60,24854
Shannon Preston,12-11-85,Pogon Szczecin,F,13.17,100,06-03-15,60,24965
Rae Castro,08-16-85,Sandecja Nowy Sacz,F,51.91,400,06-03-15,60,24985
Byron Sullivan,02-18-83,Legia Warsawa,M,227.3,1500,06-03-15,60,25241
Courtney Wiggins,07-10-02,Lech Poznan,F,177.08,1000,06-03-15,60,25243
Nyssa Gibbs,04-09-94,Slask Wroclaw,F,24.17,200,06-03-15,60,25434
Guinevere Mercer,11-14-01,Slask Wroclaw,F,25.59,200,06-03-15,60,25659
Jennifer Lopez,09-16-86,Wisla Krakowa,F,193.88,1000,06-03-15,60,25698
Jemima Blankenship,01-18-97,Gornik Zabrze,F,187.25,1000,06-03-15,60,25738
Simone Harvey,08-21-01,Lech Poznan,F,24.31,200,06-03-15,60,25934
Cameron Cooley,04-11-05,Piast Gliwice,M,11.03,100,06-03-15,60,25966
Tad Hammond,07-15-89,Bruk-Bet Termalica Nieciecza,M,21.59,200,06-03-15,60,25968
Glenna Lindsay,11-19-94,Piast Gliwice,F,133.73,800,06-03-15,60,26051
Paul Nelson,07-11-89,Cracovia,M,49.54,400,06-03-15,60,26077
Yuri Harding,07-08-89,Jagiellonia Bialystok,F,12.73,100,06-03-15,60,26403
William Kent,09-10-01,Cracovia,M,226.32,1500,06-03-15,60,26431
Dylan Bowers,07-01-04,Piast Gliwice,M,149.95,1000,06-03-15,60,26467
Axel Curry,12-03-86,Slask Wroclaw,M,47.23,400,06-03-15,60,26508
Ronan Travis,07-25-01,Piast Gliwice,M,235.66,1500,06-03-15,60,26559
Sopoline Pennington,02-25-91,Jagiellonia Bialystok,F,25.83,200,06-03-15,60,26608
Erasmus Mason,03-23-99,Legia Warsawa,M,12.23,100,06-03-15,60,26715
Wilma Oneill,01-25-93,Korona Kielce,F,132.85,800,06-03-15,60,26730
Hayes Tanner,09-20-00,Slask Wroclaw,M,20.49,200,06-03-15,60,26811
Hadley Montgomery,11-20-87,Wisla Plock,F,12.5,100,06-03-15,60,26832
Gabriel Durham,08-28-88,Zaglebie Lubin,M,45.67,400,06-03-15,60,27080
Adrian Guerra,01-23-84,Arka Gdynia,M,111.27,800,06-03-15,60,27086
Grace Mueller,12-27-93,Cracovia,F,12.72,100,06-03-15,60,27198
Quentin Hopper,02-06-95,Pogon Szczecin,M,22.76,200,06-03-15,60,27609
Megan Berger,07-25-88,Wisla Krakowa,F,54.79,400,06-03-15,60,27695
Kenneth Ewing,08-28-02,Lechia Gdansk,M,48.58,400,06-03-15,60,27714
Megan Berger,07-25-88,Wisla Krakowa,F,259.49,1500,06-03-15,60,27839
Hiram Giles,09-19-84,Lechia Gdansk,M,105.76,800,06-03-15,60,27998
Mufutau Mcclure,01-25-89,Piast Gliwice,M,237.12,1500,06-03-15,60,28031
Driscoll Jordan,12-18-85,Lechia Gdansk,M,110.12,800,06-03-15,60,28036
Rhoda Horton,04-08-93,Slask Wroclaw,F,56.14,400,06-03-15,60,28145
Dean Lowery,07-21-82,Slask Wroclaw,M,48.01,400,06-03-15,60,28184
Erica Parsons,10-29-88,Pogon Szczecin,F,25.94,200,06-03-15,60,28311
Ora Finley,12-25-98,Pogon Szczecin,F,248.97,1500,06-03-15,60,28327
Philip Lopez,11-16-86,Jagiellonia Bialystok,M,20.88,200,06-03-15,60,28650
Orla Hatfield,05-07-94,Wisla Krakowa,F,135.66,800,06-03-15,60,28707
Wanda Boyer,06-25-02,Zaglebie Lubin,F,25.79,200,06-03-15,60,28812
Hadley Montgomery,11-20-87,Wisla Plock,F,13.2,100,06-03-15,60,28844
Elliott Calhoun,01-24-94,Pogon Szczecin,M,141.8,1000,06-03-15,60,29117
Kaitlin Coleman,12-28-85,Wisla Krakowa,F,14.53,100,06-03-15,60,29228
Sigourney Rojas,10-01-88,Gornik Zabrze,F,53.08,400,06-03-15,60,29243
