Name,DOB,Club,gender,trener_id
Upton Stevens,11-22-85,Pogon Szczecin,M,8
Finn Chapman,04-28-94,Gornik Zabrze,M,13
Grady Rutledge,10-06-03,Lechia Gdansk,M,2
William Kent,09-10-01,Cracovia,M,14
Dylan Bowers,07-01-04,Piast Gliwice,M,35
Bert Farley,12-18-01,Jagiellonia Bialystok,M,22
Nolan Mitchell,01-28-85,Lech Poznan,M,23
Byron Rutledge,09-20-86,Wisla Plock,M,45
Leonard Garza,08-16-88,Pogon Szczecin,M,21
Steel Cox,12-24-97,Lech Poznan,M,13
Lawrence Wade,05-30-01,Slask Wroclaw,M,6
Lane Shepherd,04-07-89,Lechia Gdansk,M,49
Andrew Nash,05-26-92,Pogon Szczecin,M,25
Channing Fox,12-15-95,Zaglebie Lubin,M,8
Ivan Roberts,09-16-82,Gornik Zabrze,M,40
Quentin Hopper,02-06-95,Pogon Szczecin,M,33
Harlan Kline,12-28-01,Jagiellonia Bialystok,M,29
Preston Jackson,07-13-84,Zaglebie Lubin,M,18
Francis Sutton,10-16-02,Pogon Szczecin,M,12
Edan Tate,04-28-99,Lech Poznan,M,0
Bruno Marsh,09-06-81,Bruk-Bet Termalica Nieciecza,M,8
Ezra Roberson,11-03-01,Gornik Zabrze,M,0
Curran Bray,06-04-85,Lech Poznan,M,40
Hu Buckley,08-01-00,Wisla Krakowa,M,27
Merrill Beck,05-11-91,Lechia Gdansk,M,11
Colin Bird,12-26-89,Sandecja Nowy Sacz,M,46
Odysseus Terrell,05-17-89,Jagiellonia Bialystok,M,4
Magee Ware,02-04-01,Bruk-Bet Termalica Nieciecza,M,2
Evan Randolph,02-09-97,Zaglebie Lubin,M,34
Kirk Middleton,07-27-80,Zaglebie Lubin,M,48
Chaim Levy,06-17-89,Lech Poznan,M,37
Anthony Rivas,01-29-00,Lechia Gdansk,M,28
Acton Atkinson,07-31-01,Legia Warsawa,M,21
Patrick Key,01-28-02,Pogon Szczecin,M,38
Jelani Berger,03-26-02,Lechia Gdansk,M,28
Anthony Whitfield,07-07-93,Lechia Gdansk,M,21
Scott Rice,05-08-81,Bruk-Bet Termalica Nieciecza,M,4
Austin Holman,12-15-83,Sandecja Nowy Sacz,M,17
Yasir Dixon,02-01-02,Wisla Plock,M,46
Wayne Wall,03-11-05,Sandecja Nowy Sacz,M,27
Adrian Guerra,01-23-84,Arka Gdynia,M,26
Oleg Johns,01-03-89,Slask Wroclaw,M,11
Garrett Guerrero,02-06-96,Lechia Gdansk,M,9
Francis Hatfield,04-29-04,Cracovia,M,6
Travis Schmidt,06-29-80,Wisla Plock,M,31
Axel Trevino,05-14-81,Legia Warsawa,M,45
Demetrius Kaufman,02-19-97,Sandecja Nowy Sacz,M,7
Tanek Snow,12-03-96,Slask Wroclaw,M,22
Moses Schmidt,03-30-88,Sandecja Nowy Sacz,M,24
Stephen Blackwell,03-13-99,Pogon Szczecin,M,22
Phillip Beck,08-08-84,Wisla Plock,M,39
Lawrence Terrell,06-16-98,Gornik Zabrze,M,8
Vernon Reeves,07-13-99,Slask Wroclaw,M,3
Jackson Hyde,12-01-91,Korona Kielce,M,30
Warren Ashley,05-26-87,Bruk-Bet Termalica Nieciecza,M,43
Erasmus Mason,03-23-99,Legia Warsawa,M,18
Hasad Fuentes,11-22-97,Slask Wroclaw,M,2
Kenneth Ewing,08-28-02,Lechia Gdansk,M,37
Samuel Sharpe,10-20-83,Lech Poznan,M,19
Ezekiel Howard,04-25-98,Korona Kielce,M,2
Emmanuel Mcgowan,05-19-95,Lechia Gdansk,M,27
Tyrone Knight,08-28-81,Cracovia,M,42
Drake Neal,03-06-83,Korona Kielce,M,27
Lewis Conley,04-06-02,Slask Wroclaw,M,36
Brock Duncan,11-05-88,Jagiellonia Bialystok,M,31
Gannon Dejesus,02-28-98,Gornik Zabrze,M,16
Nathaniel Frost,12-17-86,Bruk-Bet Termalica Nieciecza,M,7
Graham Mcfarland,02-02-95,Wisla Plock,M,10
Ezra Peters,02-05-98,Slask Wroclaw,M,40
Beck Dejesus,07-13-86,Lech Poznan,M,24
Ezekiel Battle,05-19-84,Wisla Krakowa,M,13
Nehru Lowe,12-19-96,Lech Poznan,M,44
Tad Hammond,07-15-89,Bruk-Bet Termalica Nieciecza,M,20
Hayes Craig,09-30-02,Gornik Zabrze,M,10
Keith Kennedy,07-12-80,Lech Poznan,M,3
Forrest Medina,05-22-02,Cracovia,M,19
Melvin Yates,08-23-93,Arka Gdynia,M,26
Caesar Newton,11-01-99,Zaglebie Lubin,M,28
Wyatt Benson,05-23-91,Lech Poznan,M,1
Brody Harper,12-10-91,Lechia Gdansk,M,42
Gray Burgess,09-25-93,Piast Gliwice,M,33
Adam Black,09-22-93,Lechia Gdansk,M,15
Ezekiel Hendrix,12-18-02,Cracovia,M,30
Orlando Huffman,06-30-98,Wisla Plock,M,44
Armand David,03-22-98,Piast Gliwice,M,31
Kibo Valencia,07-27-80,Lechia Gdansk,M,17
Linus Sanford,02-12-94,Lech Poznan,M,48
Quinn Burt,02-04-96,Zaglebie Lubin,M,15
Kenneth Morse,08-07-92,Wisla Plock,M,35
Chancellor Hyde,05-11-01,Lechia Gdansk,M,25
Sawyer Baxter,03-23-01,Lechia Gdansk,M,16
Yasir Lawson,02-19-88,Jagiellonia Bialystok,M,21
Ferris Hudson,11-15-82,Arka Gdynia,M,21
Ryan Swanson,02-01-00,Jagiellonia Bialystok,M,35
Damian Monroe,04-07-99,Cracovia,M,14
Aaron Leon,09-18-89,Zaglebie Lubin,M,9
Fritz Bonner,04-16-97,Cracovia,M,11
Daniel Jacobs,01-08-84,Legia Warsawa,M,5
Tiger Hood,07-06-80,Lechia Gdansk,M,26
Alden Fox,07-24-85,Wisla Krakowa,M,27
Randall Mendez,04-14-94,Legia Warsawa,M,18
Gabriel Durham,08-28-88,Zaglebie Lubin,M,1
Orson Petty,07-01-00,Zaglebie Lubin,M,5
Eric Farley,07-17-89,Korona Kielce,M,41
Paul Nelson,07-11-89,Cracovia,M,0
Jason Jones,05-14-94,Zaglebie Lubin,M,6
Baxter Mcfadden,10-06-88,Wisla Krakowa,M,8
Fulton Wilkerson,05-13-92,Lech Poznan,M,29
Peter Reeves,05-01-81,Bruk-Bet Termalica Nieciecza,M,37
Jameson Downs,08-07-93,Jagiellonia Bialystok,M,38
Anthony Kidd,09-28-97,Arka Gdynia,M,42
Hashim Ballard,09-02-94,Cracovia,M,14
Merrill Dominguez,07-19-86,Arka Gdynia,M,8
Flynn Dyer,05-25-87,Legia Warsawa,M,4
Charles Logan,12-09-03,Cracovia,M,12
Xander Underwood,03-13-00,Arka Gdynia,M,43
Axel Curry,12-03-86,Slask Wroclaw,M,12
Joshua Potts,08-06-82,Jagiellonia Bialystok,M,20
Leo Bishop,12-31-98,Pogon Szczecin,M,49
Jerome Holmes,11-24-93,Wisla Plock,M,7
Burton Ball,06-12-03,Pogon Szczecin,M,30
Jacob Kirk,05-13-82,Cracovia,M,2
Ali Dodson,05-24-02,Gornik Zabrze,M,14
Alec Foley,11-30-80,Pogon Szczecin,M,28
Drake Trevino,12-20-97,Piast Gliwice,M,13
Jin Grimes,12-20-99,Zaglebie Lubin,M,25
Colt Cortez,08-04-94,Pogon Szczecin,M,33
Bradley Mcclain,04-11-99,Korona Kielce,M,30
Alexander Mcintyre,10-13-93,Arka Gdynia,M,3
Hammett George,08-25-92,Arka Gdynia,M,9
Cooper Potts,06-23-84,Pogon Szczecin,M,42
Blaze Haley,03-01-91,Bruk-Bet Termalica Nieciecza,M,4
Todd Jenkins,02-14-87,Wisla Krakowa,M,48
Tiger Payne,09-16-98,Arka Gdynia,M,47
Allistair Finch,05-26-82,Lech Poznan,M,22
Lyle Lindsey,11-06-92,Piast Gliwice,M,48
Dale Skinner,12-20-99,Piast Gliwice,M,24
Brendan Mccormick,09-23-88,Legia Warsawa,M,2
Kamal Madden,04-01-93,Sandecja Nowy Sacz,M,10
Timothy Ellis,02-10-97,Lech Poznan,M,29
Hiram Atkins,10-11-80,Slask Wroclaw,M,3
Abbot Good,10-29-93,Slask Wroclaw,M,11
Randall Wilcox,04-25-84,Zaglebie Lubin,M,27
Ronan Travis,07-25-01,Piast Gliwice,M,13
Tanek Ferrell,01-13-01,Sandecja Nowy Sacz,M,49
Erasmus Lang,08-31-04,Lechia Gdansk,M,2
Marshall Little,11-28-94,Zaglebie Lubin,M,28
Zephania Mathis,03-28-01,Korona Kielce,M,11
Jonas Murphy,05-03-01,Pogon Szczecin,M,16
Rashad Sears,01-30-81,Cracovia,M,18
Keaton Blair,02-18-85,Korona Kielce,M,18
Lewis Fulton,02-17-89,Bruk-Bet Termalica Nieciecza,M,42
Maxwell Albert,12-28-02,Sandecja Nowy Sacz,M,7
Vaughan Salas,11-15-84,Wisla Krakowa,M,37
Maxwell Keller,10-22-02,Wisla Krakowa,M,5
Leila Neal,02-28-03,Wisla Krakowa,F,4
Cameran Warren,01-09-00,Bruk-Bet Termalica Nieciecza,F,47
Callie Mcfadden,06-23-95,Slask Wroclaw,F,8
Maxine Simmons,02-17-84,Wisla Krakowa,F,40
Rhonda Holt,01-14-93,Slask Wroclaw,F,44
Tanya Rivera,11-24-88,Zaglebie Lubin,F,3
Eliana Mccullough,01-31-96,Arka Gdynia,F,10
Keelie Short,09-23-85,Piast Gliwice,F,19
Hillary Britt,02-03-92,Jagiellonia Bialystok,F,4
Jaquelyn Alvarado,04-03-93,Slask Wroclaw,F,32
Wyoming Dejesus,06-02-89,Piast Gliwice,F,44
Christen Briggs,07-08-01,Wisla Plock,F,46
Maile Price,04-20-98,Jagiellonia Bialystok,F,29
Faith Fuentes,12-24-85,Cracovia,F,10
Ria Martin,01-10-98,Zaglebie Lubin,F,42
Vanna Chase,05-04-87,Legia Warsawa,F,19
Fredericka Cantu,11-18-83,Pogon Szczecin,F,20
Nyssa Gibbs,04-09-94,Slask Wroclaw,F,10
Amanda Melendez,11-01-01,Pogon Szczecin,F,13
Wilma Oneill,01-25-93,Korona Kielce,F,19
Fredericka Moss,07-06-93,Lechia Gdansk,F,5
Miriam Boyer,03-16-98,Jagiellonia Bialystok,F,32
Amena Bird,04-16-97,Cracovia,F,24
Bree Stark,01-17-91,Jagiellonia Bialystok,F,32
September Blackburn,03-14-96,Jagiellonia Bialystok,F,5
Kameko Dalton,09-19-90,Legia Warsawa,F,2
Jada Whitney,02-15-91,Slask Wroclaw,F,47
Emi Cobb,11-28-01,Zaglebie Lubin,F,6
Avye Grimes,02-05-98,Lech Poznan,F,8
Aretha Thompson,06-12-96,Wisla Krakowa,F,14
Anne Carr,03-30-85,Cracovia,F,29
Rhonda Mathews,08-13-99,Sandecja Nowy Sacz,F,23
Amethyst Wheeler,12-06-92,Pogon Szczecin,F,25
Keelie Hooper,09-09-86,Pogon Szczecin,F,20
Nichole Lee,05-26-99,Legia Warsawa,F,21
Hilary Pruitt,02-09-90,Zaglebie Lubin,F,2
Briar Fuller,01-14-86,Jagiellonia Bialystok,F,43
Isabelle Humphrey,08-29-89,Slask Wroclaw,F,2
Rhoda Horton,04-08-93,Slask Wroclaw,F,26
Rachel Lott,06-03-85,Legia Warsawa,F,9
Imogene Randolph,01-11-91,Cracovia,F,8
Kimberley Marsh,12-23-87,Sandecja Nowy Sacz,F,48
Aubrey Mitchell,11-07-97,Lechia Gdansk,F,39
Alana Booth,03-08-95,Bruk-Bet Termalica Nieciecza,F,25
Tanisha Mcmahon,08-21-91,Legia Warsawa,F,0
Kimberly Wade,02-05-97,Legia Warsawa,F,30
Doris Meyers,01-08-85,Pogon Szczecin,F,9
Jessamine Chapman,04-01-85,Zaglebie Lubin,F,29
Mara Franklin,01-13-94,Wisla Plock,F,10
Glenna Lindsay,11-19-94,Piast Gliwice,F,2
Elaine Bruce,02-04-94,Lech Poznan,F,7
Alexis Little,01-01-92,Korona Kielce,F,28
Willa Bray,08-09-98,Sandecja Nowy Sacz,F,23
Madeson Walker,01-29-94,Wisla Plock,F,46
Sybill Buchanan,07-31-84,Slask Wroclaw,F,12
Cailin Warner,04-13-93,Lechia Gdansk,F,7
Lillith Ramirez,10-06-93,Lech Poznan,F,13
Jennifer Faulkner,12-14-95,Jagiellonia Bialystok,F,37
April Whitfield,05-06-87,Lech Poznan,F,36
Martina Lawrence,12-20-87,Wisla Krakowa,F,2
Isabelle Bright,07-16-93,Wisla Krakowa,F,8
Kylan Alvarado,01-03-88,Zaglebie Lubin,F,26
Halla Ray,04-16-94,Slask Wroclaw,F,6
Raven Love,12-17-96,Jagiellonia Bialystok,F,9
Leslie Chan,06-24-86,Slask Wroclaw,F,10
Astra Rowland,11-11-87,Lech Poznan,F,33
Alisa Sawyer,03-30-84,Zaglebie Lubin,F,38
Ina Massey,09-17-98,Slask Wroclaw,F,31
Yuri Harding,07-08-89,Jagiellonia Bialystok,F,22
Rina Gibson,02-23-94,Wisla Krakowa,F,25
Mia Mack,11-20-87,Wisla Plock,F,32
Erica Parsons,10-29-88,Pogon Szczecin,F,9
Daria Chan,10-14-94,Korona Kielce,F,41
Montana Huff,03-31-93,Lechia Gdansk,F,49
Tanisha Workman,11-08-90,Lech Poznan,F,25
Summer Diaz,02-27-91,Zaglebie Lubin,F,42
Yetta Lane,10-26-83,Wisla Plock,F,7
Maile Summers,05-18-84,Zaglebie Lubin,F,29
Sheila Taylor,02-15-03,Lech Poznan,F,35
Aspen Lowe,09-29-94,Jagiellonia Bialystok,F,6
Camille Welch,06-29-83,Pogon Szczecin,F,36
Ifeoma Peck,01-18-84,Korona Kielce,F,14
Lenore Coffey,05-17-99,Lech Poznan,F,8
Alika Reid,02-20-00,Cracovia,F,29
Kyla Foley,09-06-86,Gornik Zabrze,F,15
Mari Swanson,04-29-87,Wisla Krakowa,F,19
Lavinia Ellis,04-09-03,Cracovia,F,19
Florence Huff,04-11-84,Jagiellonia Bialystok,F,47
Cameran Klein,05-06-97,Korona Kielce,F,11
Courtney Wiggins,07-10-02,Lech Poznan,F,31
Jemima Blankenship,01-18-97,Gornik Zabrze,F,22
Ruth Long,10-07-91,Gornik Zabrze,F,17
Shaeleigh Garza,12-15-95,Korona Kielce,F,46
Alexis Hansen,02-01-92,Sandecja Nowy Sacz,F,16
Blair Ball,06-25-93,Piast Gliwice,F,49
Kristen Combs,08-05-88,Pogon Szczecin,F,47
Scarlett Kirkland,09-22-92,Korona Kielce,F,17
Mona Weiss,07-20-86,Zaglebie Lubin,F,7
Lacota Page,08-08-99,Slask Wroclaw,F,28
Katelyn Lott,07-09-96,Pogon Szczecin,F,16
Ursa Dickerson,05-04-87,Lechia Gdansk,F,2
Sigourney Rojas,10-01-88,Gornik Zabrze,F,42
Nevada Scott,12-07-94,Arka Gdynia,F,35
Mara Ford,04-14-95,Wisla Plock,F,28
Abra Williams,03-26-90,Lechia Gdansk,F,3
May Beach,04-20-94,Legia Warsawa,F,5
Amy Norman,03-28-02,Slask Wroclaw,F,38
Yvonne Rosa,01-15-93,Cracovia,F,9
Urielle Sutton,09-23-01,Sandecja Nowy Sacz,F,21
Ramona Morrow,08-01-97,Pogon Szczecin,F,1
India Vega,07-28-00,Korona Kielce,F,41
Lila Pollard,12-22-91,Lechia Gdansk,F,48
Ella Williamson,12-10-83,Wisla Krakowa,F,17
Ramona Richardson,04-21-86,Wisla Krakowa,F,0
Shannon Preston,12-11-85,Pogon Szczecin,F,9
Lee Graves,09-15-83,Gornik Zabrze,F,31
Noelle Thompson,03-04-98,Lech Poznan,F,9
Demetria Townsend,04-04-94,Legia Warsawa,F,47
Anjolie King,12-29-97,Lechia Gdansk,F,16
Ora Finley,12-25-98,Pogon Szczecin,F,30
Scarlett Yang,02-27-89,Wisla Plock,F,27
Mikayla Kidd,11-18-96,Lech Poznan,F,48
Yoshi Patton,04-09-84,Wisla Plock,F,8
Grace Mueller,12-27-93,Cracovia,F,20
Jasmine Schneider,04-24-87,Lech Poznan,F,15
Haviva Sanford,02-25-03,Piast Gliwice,F,39
Amela Preston,02-25-00,Pogon Szczecin,F,27
Rowan Hubbard,01-16-88,Zaglebie Lubin,F,12
Adele Dickerson,09-27-84,Arka Gdynia,F,49
Jaime Valencia,12-09-94,Zaglebie Lubin,F,32
Hermione Solomon,09-25-99,Lech Poznan,F,17
Urielle David,04-27-99,Legia Warsawa,F,17
Sasha Terry,05-22-97,Jagiellonia Bialystok,F,11
Kylee Stevenson,08-19-84,Cracovia,F,28
Kelsey Colon,04-16-91,Wisla Krakowa,F,38
TaShya Cleveland,05-13-87,Wisla Krakowa,F,39
Shaine Cherry,07-19-85,Pogon Szczecin,F,27
Chiquita Ortiz,12-04-90,Slask Wroclaw,F,7
Rae Castro,08-16-85,Sandecja Nowy Sacz,F,43
Amena Thornton,05-17-00,Zaglebie Lubin,F,46
Sasha Matthews,01-08-93,Bruk-Bet Termalica Nieciecza,F,29
Lunea Mathis,04-22-00,Wisla Plock,F,49
Lila Baldwin,04-08-93,Cracovia,F,32
Regan Galloway,03-20-84,Lech Poznan,F,34
Nicole Castaneda,09-15-88,Wisla Krakowa,F,14
Ursula Humphrey,03-30-94,Wisla Plock,F,42
Jena Whitney,05-13-91,Lechia Gdansk,F,13
Rebekah Anderson,07-14-85,Korona Kielce,F,26
Kai Russo,07-23-98,Slask Wroclaw,F,14
Madonna Farrell,02-24-93,Bruk-Bet Termalica Nieciecza,F,39
Christen Duncan,12-20-92,Lech Poznan,F,39
Ciara Sims,09-12-02,Korona Kielce,F,14
Fatima Hunter,04-06-98,Pogon Szczecin,F,19
Maia Lynn,11-21-89,Pogon Szczecin,F,32
Lacey Martin,10-31-87,Jagiellonia Bialystok,F,35
Jade Boone,05-01-88,Legia Warsawa,F,42
Courtney Mathis,01-27-00,Legia Warsawa,F,22
Rhona Trujillo,08-09-86,Lechia Gdansk,F,48
Lesley Franklin,11-29-01,Lech Poznan,F,37
Emily Rollins,05-26-89,Wisla Krakowa,F,34
Lisandra Mcmahon,05-25-85,Korona Kielce,F,18
Carol Lucas,07-10-98,Zaglebie Lubin,F,20
Whitney Mack,10-13-96,Bruk-Bet Termalica Nieciecza,F,49
Candice Conrad,03-29-86,Sandecja Nowy Sacz,F,2
Sage Richardson,09-13-88,Bruk-Bet Termalica Nieciecza,F,17
Gretchen Lawson,12-26-84,Lech Poznan,F,48
Ciara Cochran,11-14-00,Lechia Gdansk,F,48
Xandra Pearson,09-09-89,Jagiellonia Bialystok,F,9
Jolene Gentry,08-19-90,Gornik Zabrze,F,44
Mira Horton,04-08-96,Korona Kielce,F,46
Jessica Prince,12-22-98,Cracovia,F,36
Adara Silva,08-01-92,Gornik Zabrze,F,1
Tallulah Hickman,10-15-83,Gornik Zabrze,F,33
Sharon Barlow,01-26-02,Wisla Plock,F,42
September Hutchinson,08-14-96,Slask Wroclaw,F,34
Hadley Montgomery,11-20-87,Wisla Plock,F,11
Vielka Nelson,01-14-96,Bruk-Bet Termalica Nieciecza,F,13
Indira Mercado,11-26-00,Pogon Szczecin,F,12
Farrah Mckay,06-11-94,Legia Warsawa,F,35
Britanni Clayton,01-16-97,Gornik Zabrze,F,49
Yael Hogan,09-17-96,Zaglebie Lubin,F,31
Cassidy Valdez,12-21-84,Lech Poznan,F,30
Chloe Potter,01-27-86,Gornik Zabrze,F,15
Britanney Pope,10-21-01,Pogon Szczecin,F,41
Fay Lindsay,11-27-92,Wisla Krakowa,F,44
Kirsten Yang,06-11-93,Legia Warsawa,F,29
